DateTime,batt_v,load_values,charge_a,solar_v,engine_efficiency,generator_efficiency,transmission_losses,converter,diesel_losses,Wind_speed(km/h),Irradiance (W/m2),Temp_C (oC),fuel_consumption,generator_output
1/27/2014 12:30,13.1,0,0,19.3,0.85,0.9,0.95,0.98,0.84,5.6,0,39,1,703
1/27/2014 13:00,13.1,0,0,19.7,0.85,0.9,0.95,0.98,0.84,6.6,0,39,1,703
1/27/2014 13:30,13.1,0,0,19.2,0.85,0.9,0.95,0.98,0.84,6.8,0,40,1,703
1/27/2014 14:00,13.2,0,0,19,0.85,0.9,0.95,0.98,0.84,5.4,0,39,1,703
1/27/2014 14:30,13.1,0,0,19.8,0.85,0.9,0.95,0.98,0.84,5.2,0,39,1,703
1/27/2014 15:00,13.2,0,0,19.6,0.85,0.9,0.95,0.98,0.84,1.4,29,33,1,703
1/27/2014 15:30,13.2,0,0.2,19.1,0.85,0.9,0.95,0.98,0.84,1,8,33,1,703
1/27/2014 16:00,13.4,0,0,18.5,0.85,0.9,0.95,0.98,0.84,6.4,135,29,1,703
1/27/2014 16:30,13.5,0,0,17.2,0.85,0.9,0.95,0.98,0.84,0.6,260,26,1,703
1/27/2014 17:00,13.5,0,0,13.4,0.85,0.9,0.95,0.98,0.84,3,435,28,1,703
1/27/2014 17:30,12.8,0.2,0,12.7,0.85,0.9,0.95,0.98,0.84,0.4,794,27,1,703
1/27/2014 18:00,12.9,0,0,11.4,0.85,0.9,0.95,0.98,0.84,1.8,1034,2,1,703
1/27/2014 18:30,12.9,0,0,1.5,0.85,0.9,0.95,0.98,0.84,1.6,1071,27,1,703
1/27/2014 19:00,12.7,1.1,0,0.8,0.85,0.9,0.95,0.98,0.84,0.8,1085,28,1,703
1/27/2014 19:30,12.6,1.1,0,0.8,0.85,0.9,0.95,0.98,0.84,0.8,1500,26,1,703
1/27/2014 20:00,12.6,1.1,0,0.8,0.85,0.9,0.95,0.98,0.84,0.4,1020,26,1,703
1/27/2014 20:30,12.5,1.6,0,0.8,0.85,0.9,0.95,0.98,0.84,1,1000,27,1,703
1/27/2014 21:00,12.5,1.1,0,0.8,0.85,0.9,0.95,0.98,0.84,0,567,26,1,703
1/27/2014 21:30,12.5,1.1,0,0.8,0.85,0.9,0.95,0.98,0.84,1,351,25,1,703
1/27/2014 22:00,12.5,1.1,0,0.8,0.85,0.9,0.95,0.98,0.84,0.2,65,29,1,703
1/27/2014 22:30,12.4,1.1,0,0.8,0.85,0.9,0.95,0.98,0.84,0.4,134,29,1,703
1/27/2014 23:00,12.5,1.1,0,0.8,0.85,0.9,0.95,0.98,0.84,0.8,6,33,1,703
1/27/2014 23:30,12.6,1.2,0,0.8,0.85,0.9,0.95,0.98,0.84,3.2,10,35,1,703
1/28/2014 0:00,12.4,1.1,0,0.8,0.85,0.9,0.95,0.98,0.84,3.2,8,35,1,703
1/28/2014 0:30,12.4,1.2,0,0.9,0.85,0.9,0.95,0.98,0.84,1.2,0,36,1,703
1/28/2014 1:00,12.4,1.1,0,0.9,0.85,0.9,0.95,0.98,0.84,2.8,920,38,1,703
1/28/2014 1:30,12.4,1.1,0,0.8,0.85,0.9,0.95,0.98,0.84,2.4,832,39,1,703
1/28/2014 2:00,12.3,1.1,0,0.9,0.85,0.9,0.95,0.98,0.84,3.2,967,41,1,703
1/28/2014 2:30,12.3,1.1,0,0.9,0.85,0.9,0.95,0.98,0.84,2.6,837,42,1,703
1/28/2014 3:00,12.3,1,0,0.8,0.85,0.9,0.95,0.98,0.84,2.8,261,37,1,703
1/28/2014 3:30,12.3,1.1,0,0.9,0.85,0.9,0.95,0.98,0.84,0.6,109,36,1,703
1/28/2014 4:00,12.3,1.1,0,0.8,0.85,0.9,0.95,0.98,0.84,0.6,6,32,1,703
1/28/2014 4:30,12.3,1.1,0,0.9,0.85,0.9,0.95,0.98,0.84,1.8,0,31,1,703
1/28/2014 5:00,12.3,1.1,0,0.9,0.85,0.9,0.95,0.98,0.84,1.2,0,31,1,703
1/28/2014 5:30,12.3,1.6,0,12.2,0.85,0.9,0.95,0.98,0.84,2.4,0,29,1,703
1/28/2014 6:00,12.6,0,0.1,12.6,0.85,0.9,0.95,0.98,0.84,0.2,0,29,1,703
1/28/2014 6:30,12.7,0,1,12.7,0.85,0.9,0.95,0.98,0.84,0.4,0,28,1,703
1/28/2014 7:00,12.8,0,0.9,12.8,0.85,0.9,0.95,0.98,0.84,0.4,0,28,1,703
1/28/2014 7:30,12.9,0,1.7,12.9,0.85,0.9,0.95,0.98,0.84,0.2,0,28,1,703
1/28/2014 8:00,13.1,0,2.9,13.1,0.85,0.9,0.95,0.98,0.84,0,0,27,1,703
1/28/2014 8:30,13.1,0,3.4,13.2,0.85,0.9,0.95,0.98,0.84,0.2,0,27,1,703
1/28/2014 9:00,13.4,0,5.2,13.5,0.85,0.9,0.95,0.98,0.84,0.2,0,27,1,703
1/28/2014 9:30,14.4,0,9.2,14.6,0.85,0.9,0.95,0.98,0.84,0.6,18,27,1,703
1/28/2014 10:00,13.9,0,0,19.7,0.85,0.9,0.95,0.98,0.84,1,193,30,1,703
1/28/2014 10:30,14,0,0,19.4,0.85,0.9,0.95,0.98,0.84,2.2,525,32,1,703
1/28/2014 11:00,14,0,0,19.6,0.85,0.9,0.95,0.98,0.84,3.8,1022,36,1,703
1/28/2014 11:30,14.1,0,0,19.3,0.85,0.9,0.95,0.98,0.84,5.2,1241,40,1,703
1/28/2014 12:00,13.1,0,0,19.7,0.85,0.9,0.95,0.98,0.84,3,1319,42,1,703
1/28/2014 12:30,13.1,0,0,19.6,0.85,0.9,0.95,0.98,0.84,2.6,964,42,1,703
1/28/2014 13:00,13.2,0,0,19.3,0.85,0.9,0.95,0.98,0.84,1.8,174,34,1,703
1/28/2014 13:30,13.2,0,0,18.8,0.85,0.9,0.95,0.98,0.84,5.8,127,31,1,703
1/28/2014 14:00,13.2,0,0,19.2,0.85,0.9,0.95,0.98,0.84,4.6,98,29,1,703
1/28/2014 14:30,13.3,0,0,19.2,0.85,0.9,0.95,0.98,0.84,4.2,30,28,1,703
1/28/2014 15:00,13.3,0,0,19.1,0.85,0.9,0.95,0.98,0.84,0.8,21,29,1,703
1/28/2014 15:30,13.3,0,0,19.4,0.85,0.9,0.95,0.98,0.84,0.4,10,28,1,703
1/28/2014 16:00,13.4,0,0,18.9,0.85,0.9,0.95,0.98,0.84,0.6,0,28,1,703
