Datetime,load_values,Irradiance (W/m2),Temp_C (oC),Wind_speed(km/h)
1/1/2022 00:00,0.0,0,6.7,2.1
1/1/2022 00:30,0.0,0,6.4,2.0
1/1/2022 01:00,0.0,0,6.1000000000000005,2.0
1/1/2022 01:30,0.0,0,6.1000000000000005,2.0
1/1/2022 02:00,0.0,0,5.6000000000000005,2.0
1/1/2022 02:30,0.0,0,5.4,2.0
1/1/2022 03:00,0.0,0,5.2,2.0
1/1/2022 03:30,0.0,0,5.300000000000001,2.1
1/1/2022 04:00,0.0,0,5.4,2.3000000000000003
1/1/2022 04:30,0.0,0,5.6000000000000005,2.4000000000000004
1/1/2022 05:00,0.2,0,5.800000000000001,2.5
1/1/2022 05:30,0.0,0,6.0,2.7
1/1/2022 06:00,0.0,0,6.1000000000000005,2.9000000000000004
1/1/2022 06:30,1.1,0,6.2,2.8000000000000003
1/1/2022 07:00,1.1,0,6.300000000000001,2.8000000000000003
1/1/2022 07:30,1.1,0,6.4,2.7
1/1/2022 08:00,1.6,0,6.6000000000000005,2.7
1/1/2022 08:30,1.1,296,7.4,3.0
1/1/2022 09:00,1.1,535,8.200000000000001,3.3000000000000003
1/1/2022 09:30,1.1,669,9.3,3.5
1/1/2022 10:00,1.1,770,10.3,3.7
1/1/2022 10:30,1.1,827,11.4,3.6
1/1/2022 11:00,1.2,879,12.5,3.6
1/1/2022 11:30,1.1,907,13.3,3.5
1/1/2022 12:00,1.2,931,14.2,3.4000000000000004
1/1/2022 12:30,1.1,942,14.8,3.3000000000000003
1/1/2022 13:00,1.1,950,15.5,3.2
1/1/2022 13:30,1.1,945,15.8,3.2
1/1/2022 14:00,1.1,941,16.2,3.2
1/1/2022 14:30,1.0,929,16.3,3.2
1/1/2022 15:00,1.1,910,16.400000000000002,3.2
1/1/2022 15:30,1.1,881,16.2,3.2
1/1/2022 16:00,1.1,840,16.0,3.2
1/1/2022 16:30,1.1,781,15.2,2.8000000000000003
1/1/2022 17:00,1.6,693,14.4,2.3000000000000003
1/1/2022 17:30,0.0,553,12.6,2.0
1/1/2022 18:00,0.0,305,10.8,1.6
1/1/2022 18:30,0.0,0,10.3,1.8
1/1/2022 19:00,0.0,0,9.8,2.0
1/1/2022 19:30,0.0,0,9.4,2.2
1/1/2022 20:00,0.0,0,9.0,2.3000000000000003
1/1/2022 20:30,0.0,0,8.6,2.2
1/1/2022 21:00,0.0,0,8.200000000000001,2.2
1/1/2022 21:30,0.0,0,7.800000000000001,2.0
