DateTime,Wind_speed(km/h),Temp_C (oC)
1/27/2014 12:00,5.6,39
1/27/2014 13:00,6.6,39
1/27/2014 14:00,6.8,40
1/27/2014 15:00,5.4,39
1/27/2014 16:00,5.2,39
1/27/2014 17:00,1.4,33
1/27/2014 18:00,1,33
1/27/2014 19:00,6.4,29
1/27/2014 20:00,0.6,26
1/27/2014 21:00,3,28
1/27/2014 22:00,0.4,27
1/27/2014 23:00,1.8,26
1/28/2014 0:00,1.6,27
1/28/2014 1:00,0.8,28
1/28/2014 2:00,0.8,26
1/28/2014 3:00,0.4,26
1/28/2014 4:00,1,27
1/28/2014 5:00,0,26
1/28/2014 6:00,1,25
1/28/2014 7:00,0.2,29
1/28/2014 8:00,0.4,29
1/28/2014 9:00,0.8,33
1/28/2014 10:00,3.2,35
1/28/2014 11:00,3.2,35
1/28/2014 12:00,1.2,36
1/28/2014 13:00,2.8,38
1/28/2014 14:00,2.4,39
1/28/2014 15:00,3.2,41
1/28/2014 16:00,2.6,42
1/28/2014 17:00,2.8,37
1/28/2014 18:00,0.6,36
1/28/2014 19:00,0.6,32
1/28/2014 20:00,1.8,31
1/28/2014 21:00,1.2,31
1/28/2014 22:00,2.4,29
1/28/2014 23:00,0.2,29
1/29/2014 0:00,0.4,28
1/29/2014 1:00,0.4,28
1/29/2014 2:00,0.2,28
1/29/2014 3:00,0,27
1/29/2014 4:00,0.2,27
1/29/2014 5:00,0.2,27
1/29/2014 6:00,0.6,27
1/29/2014 7:00,1,30
1/29/2014 8:00,2.2,32
1/29/2014 9:00,3.8,36
1/29/2014 10:00,5.2,40
1/29/2014 11:00,3,42
1/29/2014 12:00,2.6,42
1/29/2014 13:00,1.8,34
1/29/2014 14:00,5.8,31
1/29/2014 15:00,4.6,29
1/29/2014 16:00,4.2,28
1/29/2014 17:00,0.8,29
1/29/2014 18:00,0.4,28
1/29/2014 19:00,0.6,28
1/29/2014 20:00,0.2,27
1/29/2014 21:00,0.2,28
1/29/2014 22:00,0.4,27
1/29/2014 23:00,1.2,27
1/30/2014 0:00,1.8,27
1/30/2014 1:00,0.6,28
1/30/2014 2:00,0,28
1/30/2014 3:00,1,27
1/30/2014 4:00,0.2,27
1/30/2014 5:00,0.6,28
1/30/2014 6:00,0.2,28
1/30/2014 7:00,0.6,30
1/30/2014 8:00,1.8,31
1/30/2014 9:00,1.2,34
1/30/2014 10:00,3.8,37
1/30/2014 11:00,4.4,33
1/30/2014 12:00,4.2,31
1/30/2014 13:00,0.8,33
1/30/2014 14:00,5.2,33
1/30/2014 15:00,1.6,33
1/30/2014 16:00,0,33
1/30/2014 17:00,1.4,32
1/30/2014 18:00,0.8,31
1/30/2014 19:00,1.2,29
1/30/2014 20:00,8,29
1/30/2014 21:00,5.4,30
1/30/2014 22:00,9.2,28
1/30/2014 23:00,8.2,28
1/31/2014 0:00,5.4,29
1/31/2014 1:00,10.6,28
1/31/2014 2:00,14.4,31
1/31/2014 3:00,12.8,30
1/31/2014 4:00,7.2,29
1/31/2014 5:00,0.8,29
1/31/2014 6:00,0.4,29
1/31/2014 7:00,1.2,30
1/31/2014 8:00,6.8,32
1/31/2014 9:00,4.2,30
1/31/2014 10:00,5.6,33
1/31/2014 11:00,6.8,35
1/31/2014 12:00,5.4,36
1/31/2014 13:00,8.4,39
1/31/2014 14:00,6,27
1/31/2014 15:00,2,27
1/31/2014 16:00,3.2,28
1/31/2014 17:00,3.6,29
1/31/2014 18:00,3.2,28
1/31/2014 19:00,6.2,27
2/3/2014 6:00,0,27
2/3/2014 7:00,0.2,28
2/3/2014 8:00,0.2,34
2/3/2014 9:00,3.2,37
2/3/2014 10:00,2.6,38
2/3/2014 11:00,2.2,40
2/3/2014 12:00,2,42
2/3/2014 13:00,3.8,42
2/3/2014 14:00,3,44
2/3/2014 15:00,3,43
2/3/2014 16:00,2,44
2/3/2014 17:00,2.6,43
2/3/2014 18:00,1.8,39
2/3/2014 19:00,0.8,33
2/3/2014 20:00,0.4,31
